id;dish_name;meal_category;protein_main;vegetables;starches;sauce;dairy;protein_category;nutriscore_calculated;Price
583;Creamy cheesy mackerel mac & cheese with cauliflower & spinach;Fish;mackerel;cauliflower | creamed spinach;mac and cheese;butter sauce;gouda;Fish;E;5.00
584;Hake in cheese sauce over creamy pasta;Fish;hake;broccoli | squash;creamy pasta;cheese sauce;parmesan;Fish;E;5.20
585;Chicken bowl with fried rice, tomatoes, asparagus & fried peppers;Poultry;chicken;tomatoes | asparagus | fried peppers;fried rice;honey mustard;parmesan;Poultry;E;5.40
586;Buttery Roasted ham with buttered corn & garlic butter noodles;Red meat;roasted ham;buttered corn | eggplant;garlic butter noodles;four cheese sauce;cream cheese;Red meat;E;5.30
587;Sausage with fried rice & vegetables in creamy sauce;Red meat;sausage;green beans | cabbage | caramelized onions;fried rice;alfredo sauce;gouda;Red meat;E;5.00
588;Herb Tofu bowl with cauliflower;Vegetarian;tofu;cauliflower | bell peppers;mac and cheese;ranch sauce;blue cheese;Vegetarian;E;5.00
589;Creamy smoked turkey bowl with cabbage;Poultry;smoked turkey;cabbage | mushrooms;mac and cheese;honey mustard;cheddar;Poultry;E;5.10
590;Crispy Veal over buttery mashed potatoes;Red meat;veal;buttered corn | kale;buttery mashed potatoes;bbq sauce;gouda;Red meat;E;5.10
591;Zesty Black beans over garlic butter noodles;Vegetarian;black beans;bell peppers | carrots;garlic butter noodles;cream sauce;parmesan;Vegetarian;E;5.20
592;Whitefish bowl with fried eggplant;Fish;whitefish;fried eggplant | buttered corn | green beans;garlic butter noodles;four cheese sauce;parmesan;Fish;E;5.50
593;Bbq ribs mac and cheese plate with fried eggplant;Red meat;bbq ribs;fried eggplant | squash;mac and cheese;butter sauce;cream cheese;Red meat;E;5.40
594;Eggs with fried rice & vegetables;Vegetarian;eggs;onions | carrots | buttered corn;fried rice;spicy mayo;gouda;Vegetarian;E;5.10
595;Mediterranean Meatballs with squash & creamy pasta;Red meat;meatballs;squash | beetroot | bell peppers;creamy pasta;cream sauce;cheddar;Red meat;E;5.30
596;Pork in four cheese sauce over butter rice;Red meat;pork;spinach | mushrooms;butter rice;four cheese sauce;parmesan;Red meat;E;5.40
597;Shrimp in ranch sauce over loaded fries;Shellfish;shrimp;fried peppers | caramelized onions | onions;loaded fries;ranch sauce;cream cheese;Shellfish;E;5.30
598;Crispy Beef bowl with beetroot;Red meat;beef;beetroot | spinach | tomatoes;loaded fries;honey mustard;heavy cream;Red meat;E;5.30
599;Paneer creamy pasta with leeks, sweet corn & broccoli;Vegetarian;paneer;leeks | sweet corn | broccoli;creamy pasta;butter sauce;parmesan;Vegetarian;E;5.40
600;Kidney beans over loaded fries;Vegetarian;kidney beans;fried onions | onions | buttered corn;loaded fries;cream sauce;gouda;Vegetarian;E;5.40
